Number,TEOS concentration,Ammonia concentration,Water concentration,Temperature,Time,Size,Reference
1,0.2,1,2,25,180,79.9,Bogush1988
2,0.25,0.5,7.5,25,180,392,Bogush1988
5,0.17,0.5,2,25,180,83.9,Bogush1988
6,0.17,0.5,3,25,180,154.4,Bogush1988
7,0.17,0.5,3,25,180,241.6,Bogush1988
8,0.17,0.5,5,25,180,245,Bogush1988
9,0.17,0.5,7.5,25,180,288.6,Bogush1988
10,0.17,0.5,10,25,180,275.2,Bogush1988
11,0.17,0.5,11.9,25,180,285.2,Bogush1988
12,0.17,0.5,12.5,25,180,318.8,Bogush1988
13,0.17,0.5,14.5,25,180,268.5,Bogush1988
14,0.17,1,1,25,180,50.4,Bogush1988
15,0.17,1,2,25,180,137.6,Bogush1988
16,0.17,1,3,25,180,278.5,Bogush1988
17,0.17,1,4.9,25,180,449.7,Bogush1988
18,0.17,1,7,25,180,483.2,Bogush1988
19,0.17,1,8.1,25,180,463.1,Bogush1988
20,0.17,1,10,25,180,456.4,Bogush1988
21,0.17,1,12,25,180,416.1,Bogush1988
22,0.17,1,14,25,180,372.5,Bogush1988
23,0.17,1,15,25,180,382.6,Bogush1988
24,0.17,2,5.1,25,180,614.1,Bogush1988
25,0.17,2,5.1,25,180,704.7,Bogush1988
26,0.17,2,7.1,25,180,637.6,Bogush1988
27,0.17,2,7.1,25,180,674.5,Bogush1988
28,0.17,2,9.1,25,180,704.7,Bogush1988
29,0.17,2,12.1,25,180,610.7,Bogush1988
30,0.17,2,14.1,25,180,496.6,Bogush1988
31,0.17,2,16.1,25,180,385.9,Bogush1988
32,0.17,3,8.2,25,180,594,Bogush1988
33,0.17,3,8.2,25,180,637.6,Bogush1988
34,0.17,3,10.2,25,180,590.6,Bogush1988
35,0.17,3,13.2,25,180,540.3,Bogush1988
36,0.17,3,15.3,25,180,443,Bogush1988
37,0.17,3,15.2,25,180,483.2,Bogush1988
38,0.17,3,17.2,25,180,406,Bogush1988
39,0.3,0.5,2,25,180,55.7,Bogush1988
40,0.3,0.5,3,25,180,97.5,Bogush1988
41,0.3,0.5,5,25,180,280.6,Bogush1988
42,0.3,0.5,7,25,180,467.7,Bogush1988
43,0.3,0.5,10,25,180,441.8,Bogush1988
44,0.3,0.5,12,25,180,360.2,Bogush1988
45,0.3,0.5,14,25,180,358.2,Bogush1988
46,0.3,1,7,25,180,491.5,Bogush1988
47,0.3,1,8.1,25,180,616.9,Bogush1988
48,0.3,1,12,25,180,425.9,Bogush1988
49,0.3,1,14,25,180,402,Bogush1988
50,0.3,1,17.8,25,180,525.4,Bogush1988
51,0.3,2,7.1,25,180,855.7,Bogush1988
52,0.3,2,9.2,25,180,857.7,Bogush1988
53,0.3,2,9.2,25,180,758.2,Bogush1988
54,0.3,2,11.2,25,180,732.3,Bogush1988
55,0.3,2,14.2,25,180,541.3,Bogush1988
56,0.3,2,15.2,25,180,551.2,Bogush1988
57,0.3,2,16.2,25,180,521.4,Bogush1988
58,0.3,3,13.3,25,180,628.9,Bogush1988
59,0.3,3,15.3,25,180,579.1,Bogush1988
60,0.3,3,17.2,25,180,549.3,Bogush1988
61,0.17,1,1,25,180,49.5,Bogush1988
62,0.17,1,2,25,180,136.7,Bogush1988
63,0.17,1,3,25,180,278.1,Bogush1988
64,0.17,1,5,25,180,447.6,Bogush1988
65,0.17,1,7,25,180,481,Bogush1988
66,0.17,1,8.1,25,180,460,Bogush1988
67,0.17,1,10,25,180,457.4,Bogush1988
68,0.17,1,12,25,180,413.8,Bogush1988
69,0.17,1,14,25,180,371.8,Bogush1988
70,0.17,1,15,25,180,382,Bogush1988
71,0.17,1,17,25,180,318.7,Bogush1988
72,0.17,1,19,25,180,271.8,Bogush1988
73,0.17,1,23,25,180,222.3,Bogush1988
74,0.17,1,25,25,180,204.9,Bogush1988
75,0.17,1,3,25,180,279,Bogush1988
76,0.17,1,19,25,180,270,Bogush1988
77,0.1,1,7,9,180,515.9,Bogush1988
78,0.1,1,7,25,180,382.7,Bogush1988
79,0.1,1,7,35,180,341.4,Bogush1988
80,0.1,1,7,45,180,221.3,Bogush1988
81,0.1,1,7,55,180,168.8,Bogush1988
82,0.25,1,7,9,180,791.7,Bogush1988
83,0.25,1,7,25,180,652.9,Bogush1988
84,0.25,1,7,35,180,384.6,Bogush1988
85,0.25,1,7,45,180,275.7,Bogush1988
86,0.25,1,7,55,180,213.8,Bogush1988
87,0.35,1,7,9,180,739.2,Bogush1988
88,0.35,1,7,25,180,681,Bogush1988
89,0.35,1,7,35,180,431.5,Bogush1988
90,0.35,1,180,45,180,350.8,Bogush1988
91,0.35,1,180,55,180,275.7,Bogush1988
92,0.17,1,180,25,60,327.7,Bogush1991
93,0.17,1,180,25,90,352.2,Bogush1991
94,0.17,1,3.8,25,120,355.9,Bogush1991
95,0.17,1,3.8,25,150,363.9,Bogush1991
96,0.17,1,3.8,25,180,378.3,Bogush1991
97,0.17,1,3.8,25,210,374.4,Bogush1991
98,0.17,1,6.8,25,60,494.2,Bogush1991
99,0.17,1,6.8,25,90,513,Bogush1991
100,0.17,1,6.8,25,120,519.4,Bogush1991
101,0.17,1,6.8,25,150,523.8,Bogush1991
102,0.17,1,6.8,25,180,530.4,Bogush1991
103,0.17,1,6.8,25,210,503.9,Bogush1991
104,0.17,1,9.5,25,60,407.9,Bogush1991
105,0.17,1,9.5,25,75,412.9,Bogush1991
106,0.17,1,3.8,25,1200,392,Bogush1991
107,0.17,1,6.8,25,1200,531.4,Bogush1991
108,0.17,1,9.5,25,1200,412.3,Bogush1991
109,0.17,1,15,25,60,325.9,Bogush1991
110,0.17,1,15,25,1200,343.1,Bogush1991
111,0.17,0.5,15,25,180,269,Bogush1991
112,0.17,2,15,25,180,453,Bogush1991
113,0.17,3,15,25,180,459,Bogush1991
114,0.15,0.3,8.8,25,180,310,Lee1998
115,0.15,0.1,8.8,25,180,96.6,Lee1998
116,0.5,0.2,15,25,180,114,Lee1998
117,0.5,0.2,9,25,180,151,Lee1998
118,0.5,0.2,6,25,180,97,Lee1998
119,0.17,1,8,25,60,450,grad2015
120,0.17,1,2,25,60,300,grad2015
121,0.17,1,15,25,60,325,grad2015
122,0.17,1,2,25,60,265,grad2015
123,0.17,1,15,25,60,290,grad2015
124,0.17,1,15,19,1440,370.39,grad2019
125,0.17,1,3,19,1440,263.2,grad2019
126,0.17,2,15,19,1440,385.4,grad2019
132,0.0119,0.682,5.51,20,1440,100.4,Blaaderen1992
133,0.17,0.68,1.65,20,1440,61.8,Blaaderen1992
134,0.167,0.512,1.58,20,1440,62.4,Blaaderen1992
135,0.159,1.12,3.01,25,1440,124.8,Blaaderen1992
136,0.16,0.986,2.65,20,1440,178.8,Blaaderen1992
137,0.169,0.96,2.58,55,1440,150.4,Blaaderen1992
138,0.148,1.97,5.31,10,1440,962,Blaaderen1992
141,0.49,2.02,8.71,60,120,391,Gao2016
142,0.46,1.89,8.15,60,120,393,Gao2016
143,0.45,1.83,7.9,60,120,320,Gao2016
144,0.43,1.75,7.55,60,120,343,Gao2016
145,0.41,1.68,7.23,60,120,300,Gao2016
146,0.4,1.63,7.03,60,120,291,Gao2016
147,0.39,1.59,6.84,60,120,307,Gao2016
148,0.37,1.53,6.57,60,120,267,Gao2016
149,0.36,1.49,6.41,60,120,252,Gao2016
150,0.35,1.45,6.25,60,120,254,Gao2016
151,0.34,1.4,6.03,60,120,260,Gao2016
152,0.32,1.3,5.63,60,120,210,Gao2016
153,0.3,1.24,5.34,60,120,187,Gao2016
154,0.29,1.17,5.08,60,120,173,Gao2016
155,0.1805,0.5343,3.17,22,4320,63.28,Tabisz2020
156,0.1805,0.6679,3.509,22,4320,131.463,Tabisz2020
157,0.1805,0.8015,3.8918,22,4320,253.835,Tabisz2020
158,0.1805,0.9351,4.2526,22,4320,266.276,Tabisz2020
159,0.1805,1.0686,4.6135,22,4320,294.691,Tabisz2020
160,0.1805,1.2022,4.9744,22,4320,291.014,Tabisz2020
161,0.1805,1.3358,5.3352,22,4320,299.843,Tabisz2020
162,0.1805,1.4694,5.6961,22,4320,299.82,Tabisz2020
163,0.1805,1.603,6.057,22,4320,317.531,Tabisz2020
164,0.1805,1.7365,6.4178,22,4320,325.26,Tabisz2020
165,0.1805,1.8701,6.7787,22,4320,337.832,Tabisz2020
166,0.1805,2.0037,7.1396,22,4320,353.191,Tabisz2020
167,0.1805,2.1373,7.5004,22,4320,373.21,Tabisz2020
168,0.1805,2.4044,8.2221,22,4320,383.613,Tabisz2020
169,0.1805,2.6716,8.9439,22,4320,386.761,Tabisz2020
170,0.1805,2.9388,9.6656,22,4320,395.76,Tabisz2020
171,0.1805,3.2059,10.3873,22,4320,405.391,Tabisz2020
172,0.1805,3.4731,11.1091,22,4320,420.41,Tabisz2020
181,0.1805,0.6946,2.0517,22,4320,53.635,Tabisz2020
182,0.1805,0.7213,2.1273,22,4320,61.214,Tabisz2020
183,0.1805,0.748,2.2029,22,4320,67.213,Tabisz2020
184,0.1805,0.7748,2.2784,22,4320,72.103,Tabisz2020
185,0.1805,0.8015,2.354,22,4320,81.944,Tabisz2020
186,0.1805,0.9351,2.732,22,4320,101.456,Tabisz2020
187,0.1805,1.0018,2.921,22,4320,131.319,Tabisz2020
188,0.1805,1.2022,3.4879,22,4320,277.079,Tabisz2020
189,0.1805,2.0037,5.7556,22,4320,348.721,Tabisz2020
190,0.1805,3.2059,9.1572,22,4320,396.782,Tabisz2020
193,0.1805,0.6679,1.9761,22,4320,48.213,Tabisz2020
194,0.1805,0.7347,2.1651,22,4320,65.781,Tabisz2020
195,0.1805,0.8015,2.354,22,4320,82.094,Tabisz2020
196,0.1805,0.8683,2.543,22,4320,95.679,Tabisz2020
197,0.1805,0.9351,2.732,22,4320,114.135,Tabisz2020
198,0.1805,1.0018,2.921,22,4320,136.078,Tabisz2020
199,0.1,0.8,3,20,1440,274,Kim2016
200,0.2,0.8,3,20,1440,267,Kim2016
201,0.4,0.8,3,20,1440,161,Kim2016
202,0.2,0.8,3,40,1440,146,Kim2016
203,0.1,0.8,3,60,1440,89,Kim2016
204,0.2,0.8,3,60,1440,87,Kim2016
205,0.4,0.8,3,60,1440,86,Kim2016
206,0.2,0.8,8,20,1440,665,Kim2016
207,0.2,0.8,8,40,1440,309,Kim2016
208,0.2,0.8,8,60,1440,186,Kim2016
209,0.1,0.8,13,20,1440,283,Kim2016
210,0.2,0.8,13,20,1440,555,Kim2016
211,0.4,0.8,13,20,1440,692,Kim2016
212,0.2,0.8,13,40,1440,310,Kim2016
213,0.1,0.8,13,60,1440,166,Kim2016
214,0.2,0.8,13,60,1440,240,Kim2016
215,0.4,0.8,13,60,1440,224,Kim2016
216,0.2,2.5,3,20,1440,510,Kim2016
217,0.2,2.5,3,40,1440,311,Kim2016
218,0.2,2.5,3,60,1440,185,Kim2016
219,0.2,2.5,8,20,1440,633,Kim2016
220,0.2,2.5,8,40,1440,550,Kim2016
221,0.2,2.5,8,40,1440,572,Kim2016
222,0.2,2.5,8,40,1440,537,Kim2016
223,0.2,2.5,8,60,1440,260,Kim2016
224,0.2,2.5,13,20,1440,550,Kim2016
225,0.2,2.5,13,40,1440,320,Kim2016
226,0.2,2.5,13,60,1440,261,Kim2016
227,0.1,4.2,3,20,1440,588,Kim2016
228,0.2,4.2,3,20,1440,660,Kim2016
229,0.4,4.2,3,20,1440,660,Kim2016
230,0.2,4.2,3,40,1440,421,Kim2016
231,0.1,4.2,3,60,1440,242,Kim2016
232,0.2,4.2,3,60,1440,300,Kim2016
233,0.4,4.2,3,60,1440,395,Kim2016
234,0.2,4.2,8,20,1440,730,Kim2016
235,0.2,4.2,8,40,1440,534,Kim2016
236,0.2,4.2,8,60,1440,310,Kim2016
237,0.1,4.2,13,20,1440,417,Kim2016
238,0.2,4.2,13,20,1440,602,Kim2016
239,0.4,4.2,13,20,1440,600,Kim2016
240,0.2,4.2,13,40,1440,466,Kim2016
241,0.1,4.2,13,60,1440,271,Kim2016
242,0.2,4.2,13,60,1440,283,Kim2016
243,0.4,4.2,13,60,1440,308,Kim2016
244,0.25,1.09,11.67,20,1440,500,Suna2019
245,0.25,1.09,5.67,20,1440,526,Suna2019
246,0.25,1.09,11.67,20,1440,514,Suna2019
247,0.25,1.09,17.67,20,1440,442,Suna2019
248,0.25,0.27,11.67,20,1440,384,Suna2019
249,0.25,0.55,11.67,20,1440,452,Suna2019
250,0.25,1.09,11.67,20,1440,530,Suna2019
251,0.25,2.18,11.67,20,1440,608,Suna2019
252,0.25,3.27,11.67,20,1440,542,Suna2019
253,0.05,1.09,11.67,20,1440,302,Suna2019
254,0.1,1.09,11.67,20,1440,381,Suna2019
255,0.18,1.09,11.67,20,1440,498,Suna2019
256,0.25,1.09,11.67,20,1440,521,Suna2019
257,0.35,1.09,11.67,20,1440,564,Suna2019
258,0.5,1.09,11.67,20,1440,679,Suna2019
259,0.75,1.09,11.67,20,1440,838,Suna2019
260,0.25,1.09,11.67,20,61,623,Suna2019
261,0.25,1.09,11.67,20,118,663,Suna2019
262,0.25,1.09,11.67,20,237,671,Suna2019
263,0.25,1.09,11.67,20,476,669,Suna2019
264,0.25,1.09,11.67,20,1416,656,Suna2019
265,0.25,1.09,11.67,20,2888,677,Suna2019
266,0.25,1.09,11.67,20,122,545,Suna2019
267,0.25,1.09,11.67,20,237,537,Suna2019
268,0.25,1.09,11.67,20,469,529,Suna2019
269,0.25,1.09,11.67,20,1396,537,Suna2019
270,0.125,1.09,11.67,20,1440,453,Suna2019
271,0.25,1.09,11.67,20,1440,586,Suna2019
272,0.125,1.09,11.67,20,1440,418,Suna2019
273,0.25,1.09,11.67,20,1440,540,Suna2019
274,0.125,1.09,11.67,20,1440,390,Suna2019
275,0.25,1.09,11.67,20,1440,485,Suna2019
276,0.25,1.09,11.67,20,120,304,Suna2019
277,0.25,1.09,11.67,20,120,460,Suna2019
278,0.25,1.09,11.67,20,120,474,Suna2019
279,0.5,0.05,9,20,960,68,jnn2015
280,0.5,0.25,9,20,960,220,jnn2015
281,0.5,0.5,9,20,960,350,jnn2015
282,0.5,1,9,20,960,660,jnn2015
283,0.5,1.5,9,20,960,830,jnn2015
284,0.5,1.75,9,20,960,910,jnn2015
301,0.214,0.498,5.87,25,1440,461,Chen1996
302,0.212,0.997,9.89,25,1440,615,Chen1996
303,0.212,2,14.9,25,1440,477,Chen1996
304,0.212,0.5,9.88,20,1440,481,Chen1996
305,0.212,1,15,20,1440,446,Chen1996
306,0.212,2,6,20,1440,733,Chen1996
307,0.212,0.494,14.9,35,1440,369,Chen1996
308,0.213,1.99,9.92,35,1440,689,Chen1996
309,0.212,0.996,5.98,35,1440,496,Chen1996
311,0.2,1,8.5,25,120,319,Escobedo2006
312,0.2,1,9,25,120,393,Escobedo2006
313,0.2,1,9.5,25,120,381,Escobedo2006
314,0.2,1,10.5,25,120,364,Escobedo2006
315,0.2,1,10,25,120,542,Escobedo2006
316,0.2,1,11,25,120,457,Escobedo2006
317,0.2,1,11.5,25,120,409,Escobedo2006
318,0.2,1,12,25,120,408,Escobedo2006
319,0.2,1,12.5,25,120,390,Escobedo2006
320,0.2,1,13,25,120,331,Escobedo2006
321,0.2,1,13.5,25,120,382,Escobedo2006
322,0.28,1,8,25,120,807,Escobedo2006
323,0.28,1,10,25,120,565,Escobedo2006
324,0.28,1,12.5,25,120,246,Escobedo2006
325,0.2,0.25,10,25,120,297,Escobedo2006
326,0.2,1,10,25,120,547,Escobedo2006
327,0.2,1.25,10,25,120,660,Escobedo2006
328,0.2,2,10,25,120,724,Escobedo2006
329,0.2,2.25,10,25,120,592,Escobedo2006
330,0.2,2.5,10,25,120,562,Escobedo2006
331,0.28,0.25,8,25,120,278,Escobedo2006
332,0.28,0.5,8,25,120,326,Escobedo2006
333,0.28,1,8,25,120,806,Escobedo2006
334,0.28,1.5,8,25,120,771,Escobedo2006
335,0.75,0.6,4.7,20,300,170,Wang2010
336,0.1,1.12,8.4,40,120,274,Wang2010
337,0.17,1.26,2.8,40,120,195,Wang2010
